"","Meter","In_area","Customer","Area","X","Y","Profile"
"1","0026",1,0,353.58443868978,869610.066373758,9687254.87677086,1
"2","0030",1,1,46.1464360084721,869648.561937216,9687262.87179505,0
"3","0040",1,1,93.4497238414237,869399.366136302,9687109.96527655,1
"5","0026",1,1,146.721462098754,869583.878464885,9687283.13165445,1
"6","0001",1,1,96.9454680830459,869344.634093488,9687074.20804187,0
"7","0002",1,1,110.796622533238,869292.078617064,9687032.32604936,0
"8","0012",1,1,69.9580846027836,869359.936929528,9686927.01031356,0
"12","0025",1,1,35.4654182567571,869386.10858333,9687134.88872273,0
"13","0045",1,1,50.2823701414101,869360.687600495,9687134.94659573,0
"14","0054",1,1,13.0436899204025,869345.837454151,9687111.55598299,1
"17","0047",1,1,10.4188270746601,869337.513035906,9687094.87478004,0
"18","0055",1,1,12.2201302351708,869334.089023515,9687093.89951419,0
"28","0008",1,1,51.4773226141423,869335.259935084,9687067.50221061,0
"30","0004",1,1,52.7495291715623,869354.268964132,9687143.40785874,0
"31","0023",1,1,248.716966552876,869368.517449463,9687144.88807099,0
"33","0037",1,1,36.7060119861572,869367.531150038,9687165.76363971,0
"34","0032",1,1,112.315367566539,869395.52900978,9687141.53636964,0
"38","0009",1,1,75.2659155165471,869373.309276812,9687173.678828,0
"43","0061",1,1,91.8141374778391,869453.331376471,9687095.24209443,0
"51","0038",1,1,95.686976263903,869566.771943955,9687216.71719096,0
"54","0010",1,1,39.1873667582523,869604.944793306,9687176.63487966,0
"55","0052",1,1,161.438335984693,869565.63744966,9687159.24508937,0
"56","0006",1,1,101.595431083652,869535.514665653,9687164.74343018,0
"58","0051",1,1,32.646107696784,869503.064824064,9687185.16582406,1
"60","0056",1,1,47.471861673837,869446.494092738,9687155.60484296,0
"73","0024",1,1,151.933136042861,869293.037734495,9687060.14518225,1
"74","0018",1,1,185.173037496423,869279.060632957,9687052.91331838,0
"75","0058",1,1,35.2550118460228,869261.753100257,9687029.85231099,0
"78","0043",1,1,86.2841347327512,869301.041981157,9687071.63372619,0
"79","0057",1,1,80.15007442572,869311.876677763,9687080.99241172,0
"80","0036",1,1,43.2847030632765,869323.90164012,9687084.62330665,0
"81","0027",1,1,321.958044524857,869307.76106539,9687108.34893905,1
"85","0022",1,1,76.4061455602481,869295.850311489,9687128.52729637,0
"92","0028",1,0,85.7514099797497,869380.427280334,9687212.97499379,0
"93","0028",1,1,122.692284677324,869388.052243553,9687217.71997183,0
"94","0003",1,1,121.062742009886,869422.769594465,9687202.236855,0
"95","0046",1,1,81.8229462801258,869432.97798471,9687206.88170337,0
"96","0003",1,0,70.5910498238902,869430.279955645,9687219.25158101,0
"101","0019",1,1,150.031164860837,869494.659920847,9687235.61132237,0
"110","0044",1,1,152.483249687916,869314.781812513,9686995.77744638,0
"120","0034",1,1,85.4108696142072,869240.61396943,9686918.59614525,0
"123","0029",1,1,154.028163590923,869198.63852349,9686896.38996442,0
"125","0017",1,0,22.0430494941171,869203.195335279,9686821.85458695,0
"126","0017",1,1,48.2213573860051,869208.576611656,9686810.58651233,0
"130","0020",1,1,111.18882175091,869180.005127171,9686972.62016283,0
"133","0021",1,0,37.6730631075485,869224.340747615,9687012.33749329,0
"134","0021",1,1,84.5015722377254,869228.152154657,9687019.69675764,0
"135","0007",1,1,107.788853997721,869345.883784786,9687181.3933546,0
"136","0011",1,1,69.1887430299982,869316.238655301,9687202.28325868,0
"137","0011",1,0,35.8933833446724,869312.761157247,9687195.85756418,0
"142","0013",1,1,41.3369537978005,869272.621846181,9687120.74369017,0
"143","0039",1,1,89.6523899731167,869263.240367133,9687118.49489977,0
"151","0016",1,0,72.2155988229221,869179.784475574,9687117.16337769,0
"152","0016",1,1,48.502437362336,869182.521232323,9687106.62121608,0
"154","0015",1,1,52.6575338597921,869174.040760188,9687098.11882434,0
"161","0042",1,1,55.5407230859842,869120.071215027,9687075.51662854,0
"166","0033",1,1,114.713127202226,869208.770304972,9687044.23564569,0
"168","0041",1,1,53.6423062872194,869231.832786986,9687050.53166164,0
"174","0031",1,1,36.2882932972413,869134.681351295,9686998.59276118,0
"192","0062",1,1,36.6291734846789,869268.853506514,9686972.80165463,0
"210","0014",1,1,186.497339241939,869241.202157602,9687082.09079924,0
"211","0048",1,1,40.3706887665163,869256.434547721,9687090.18511643,0
"220","0063",1,1,30.0866873934612,869128.974810299,9687051.42324194,0
"223","0060",1,1,56.6155089141903,869072.209930944,9687007.61495801,0
"229","0005",1,1,10.9919043991318,869500.472184937,9687190.50521935,1
"230","0059",1,1,9.78232639838506,869300.165233724,9687097.2841911,0
"231","0053",1,1,6.87656891350167,869296.124303679,9687093.71546003,0
"236","0035",1,1,51.9287604098254,869397.679242464,9687097.06535534,1
